Date,Close/Last,Volume,Open,High,Low
"45,659.00",243.85,"55,740,730.00",248.93,249.10,241.82
"45,657.00",250.42,"39,480,720.00",252.44,253.28,249.43
"45,656.00",252.20,"35,557,540.00",252.23,253.50,250.75
"45,653.00",255.59,"42,355,320.00",257.83,258.70,253.06
"45,652.00",259.02,"27,262,980.00",258.19,260.10,257.63
"45,650.00",258.20,"23,234,710.00",255.49,258.21,255.29
"45,649.00",255.27,"40,858,770.00",254.77,255.65,253.45
"45,646.00",254.49,"147,495,300.00",248.04,255.00,245.69
"45,645.00",249.79,"60,882,260.00",247.50,252.00,247.09
"45,644.00",248.05,"56,774,100.00",252.16,254.28,247.74
"45,643.00",253.48,"51,356,360.00",250.08,253.83,249.78
"45,642.00",251.04,"51,694,750.00",247.99,251.38,247.65
"45,639.00",248.13,"33,155,290.00",247.82,249.29,246.24
"45,638.00",247.96,"32,777,530.00",246.89,248.74,245.68
"45,637.00",246.49,"45,205,810.00",247.96,250.80,246.26
"45,636.00",247.77,"36,914,810.00",246.89,248.21,245.34
"45,635.00",246.75,"44,649,230.00",241.83,247.24,241.75
"45,632.00",242.84,"36,870,620.00",242.91,244.63,242.08
"45,631.00",243.04,"40,033,880.00",243.99,244.54,242.13
"45,630.00",243.01,"44,383,940.00",242.87,244.11,241.25
"45,629.00",242.65,"38,861,020.00",239.81,242.76,238.90
"45,628.00",239.59,"48,137,100.00",237.27,240.79,237.16
"45,625.00",237.33,"28,481,380.00",234.81,237.81,233.97
"45,623.00",234.93,"33,498,440.00",234.47,235.69,233.81
"45,622.00",235.06,"45,986,190.00",233.33,235.57,233.33
"45,621.00",232.87,"90,152,830.00",231.46,233.25,229.74
"45,618.00",229.87,"38,168,250.00",228.06,230.72,228.06
"45,617.00",228.52,"42,108,330.00",228.88,230.16,225.71
"45,616.00",229.00,"35,169,570.00",228.06,229.93,225.89
"45,615.00",228.28,"36,211,770.00",226.98,230.16,226.66
"45,614.00",228.02,"44,686,020.00",225.25,229.74,225.17
"45,611.00",225.00,"47,923,700.00",226.40,226.92,224.27
"45,610.00",228.22,"44,923,940.00",225.02,228.87,225.00
"45,609.00",225.12,"48,566,220.00",224.01,226.65,222.76
"45,608.00",224.23,"40,398,300.00",224.55,225.59,223.36
"45,607.00",224.23,"42,005,600.00",225.00,225.70,221.50
"45,604.00",226.96,"38,328,820.00",227.17,228.66,226.41
"45,603.00",227.48,"42,137,690.00",224.63,227.88,224.57
"45,602.00",222.72,"54,561,120.00",222.61,226.07,221.19
"45,601.00",223.45,"28,111,340.00",221.80,223.95,221.14
"45,600.00",222.01,"44,944,470.00",220.99,222.79,219.71
"45,597.00",222.91,"65,276,740.00",220.97,225.35,220.27
"45,596.00",225.91,"64,370,090.00",229.34,229.83,225.37
