Date,Close/Last,Volume,Open,High,Low,Day
"45,623.00",234.93,"33,498,440.00",234.47,235.69,233.81,57
"45,622.00",235.06,"45,986,190.00",233.33,235.57,233.33,58
"45,621.00",232.87,"90,152,830.00",231.46,233.25,229.74,59
"45,618.00",229.87,"38,168,250.00",228.06,230.72,228.06,60
"45,617.00",228.52,"42,108,330.00",228.88,230.16,225.71,61
"45,616.00",229.00,"35,169,570.00",228.06,229.93,225.89,62
"45,615.00",228.28,"36,211,770.00",226.98,230.16,226.66,63
"45,614.00",228.02,"44,686,020.00",225.25,229.74,225.17,64
"45,611.00",225.00,"47,923,700.00",226.40,226.92,224.27,65
"45,610.00",228.22,"44,923,940.00",225.02,228.87,225.00,66
"45,609.00",225.12,"48,566,220.00",224.01,226.65,222.76,67
"45,608.00",224.23,"40,398,300.00",224.55,225.59,223.36,68
"45,607.00",224.23,"42,005,600.00",225.00,225.70,221.50,69
"45,604.00",226.96,"38,328,820.00",227.17,228.66,226.41,70
"45,603.00",227.48,"42,137,690.00",224.63,227.88,224.57,71
"45,602.00",222.72,"54,561,120.00",222.61,226.07,221.19,72
"45,601.00",223.45,"28,111,340.00",221.80,223.95,221.14,73
"45,600.00",222.01,"44,944,470.00",220.99,222.79,219.71,74
"45,597.00",222.91,"65,276,740.00",220.97,225.35,220.27,75
"45,596.00",225.91,"64,370,090.00",229.34,229.83,225.37,76
"45,595.00",230.10,"47,070,910.00",232.61,233.47,229.55,77
"45,594.00",233.67,"35,417,250.00",233.10,234.33,232.32,78
"45,593.00",233.40,"36,087,130.00",233.32,234.73,232.55,79
"45,590.00",231.41,"38,802,300.00",229.74,233.22,229.57,80
"45,589.00",230.57,"31,109,500.00",229.98,230.82,228.41,81
"45,588.00",230.76,"52,286,980.00",234.08,235.14,227.76,82
"45,587.00",235.86,"38,846,580.00",233.89,236.22,232.60,83
"45,586.00",236.48,"36,254,470.00",234.45,236.85,234.45,84
"45,583.00",235.00,"46,431,470.00",236.18,236.18,234.01,85
"45,582.00",232.15,"32,993,810.00",233.43,233.85,230.52,86
"45,581.00",231.78,"34,082,240.00",231.60,232.12,229.84,87
"45,580.00",233.85,"64,751,370.00",233.61,237.49,232.37,88
"45,579.00",231.30,"39,882,090.00",228.70,231.73,228.60,89
"45,576.00",227.55,"31,759,190.00",229.30,229.41,227.34,90
"45,575.00",229.04,"28,183,540.00",227.78,229.50,227.17,91
"45,574.00",229.54,"33,591,090.00",225.23,229.75,224.83,92
"45,573.00",225.77,"31,855,690.00",224.30,225.98,223.25,93
"45,572.00",221.69,"39,505,350.00",224.50,225.69,221.33,94
"45,569.00",226.80,"37,345,100.00",227.90,228.00,224.13,95
"45,568.00",225.67,"34,044,160.00",225.14,226.81,223.32,96
"45,567.00",226.78,"32,880,610.00",225.89,227.37,223.02,97
"45,566.00",226.21,"63,285,050.00",229.52,229.65,223.74,98
"45,565.00",233.00,"54,793,390.00",230.04,233.00,229.65,99
"45,562.00",227.79,"34,025,970.00",228.46,229.52,227.30,100
"45,561.00",227.52,"36,636,710.00",227.30,228.50,225.41,101
"45,560.00",226.37,"42,308,720.00",224.93,227.29,224.02,102
"45,559.00",227.37,"43,556,070.00",228.65,229.35,225.73,103
"45,558.00",226.47,"54,146,020.00",227.34,229.45,225.81,104
"45,555.00",228.20,"318,679,900.00",229.97,233.09,227.62,105
"45,554.00",228.87,"66,781,320.00",224.99,229.82,224.63,106
"45,553.00",220.69,"59,894,930.00",217.55,222.71,217.54,107
"45,552.00",216.79,"45,519,340.00",215.75,216.90,214.50,108
"45,551.00",216.32,"59,357,430.00",216.54,217.22,213.92,109
"45,548.00",222.50,"36,766,620.00",223.58,224.04,221.91,110
"45,547.00",222.77,"37,498,230.00",222.50,223.55,219.82,111
"45,546.00",222.66,"44,587,070.00",221.46,223.09,217.89,112
"45,545.00",220.11,"51,591,030.00",218.92,221.48,216.73,113
"45,544.00",220.91,"67,179,970.00",220.82,221.27,216.71,114
"45,541.00",220.82,"48,423,010.00",223.95,225.24,219.77,115
"45,540.00",222.38,"36,615,400.00",221.63,225.48,221.52,116
"45,539.00",220.85,"43,840,200.00",221.66,221.78,217.48,117
"45,538.00",222.77,"50,190,570.00",228.55,229.00,221.17,118
"45,534.00",229.00,"52,990,770.00",230.19,230.40,227.48,119
"45,533.00",229.79,"51,906,300.00",230.10,232.92,228.88,120
"45,532.00",226.49,"38,052,170.00",227.92,229.86,225.68,121
"45,531.00",228.03,"35,934,560.00",226.00,228.85,224.89,122
"45,530.00",227.18,"30,602,210.00",226.76,227.28,223.89,123
"45,527.00",226.84,"38,677,250.00",225.66,228.22,224.33,124
"45,526.00",224.53,"43,695,320.00",227.79,228.34,223.90,125
"45,525.00",226.40,"34,765,480.00",226.52,227.98,225.05,126
"45,524.00",226.51,"30,299,030.00",225.77,227.17,225.45,127
"45,523.00",225.89,"40,687,810.00",225.72,225.99,223.04,128
"45,520.00",226.05,"44,340,240.00",223.92,226.83,223.65,129
"45,519.00",224.72,"46,414,010.00",224.60,225.35,222.76,130
"45,518.00",221.72,"41,960,570.00",220.57,223.03,219.70,131
"45,517.00",221.27,"44,155,330.00",219.01,221.89,219.01,132
"45,516.00",217.53,"38,028,090.00",216.07,219.51,215.60,133
"45,513.00",216.24,"42,201,650.00",212.10,216.78,211.97,134
"45,512.00",213.31,"47,161,150.00",213.11,214.20,208.83,135
"45,511.00",209.82,"63,516,420.00",206.90,213.64,206.39,136
"45,510.00",207.23,"69,660,490.00",205.30,209.99,201.07,137
"45,509.00",209.27,"119,548,600.00",199.09,213.50,196.00,138
"45,506.00",219.86,"105,568,600.00",219.15,225.60,217.71,139
"45,505.00",218.36,"62,501,000.00",224.37,224.48,217.02,140
"45,504.00",222.08,"50,036,260.00",221.44,223.82,220.63,141
"45,503.00",218.80,"41,643,840.00",219.19,220.33,216.12,142
"45,502.00",218.24,"36,311,780.00",216.96,219.30,215.75,143
"45,499.00",217.96,"41,601,350.00",218.70,219.49,216.01,144
"45,498.00",217.49,"51,391,200.00",218.93,220.85,214.62,145
"45,497.00",218.54,"61,777,580.00",224.00,224.80,217.13,146
"45,496.00",225.01,"39,960,260.00",224.37,226.94,222.68,147
"45,495.00",223.96,"48,201,840.00",227.01,227.78,223.09,148
"45,492.00",224.31,"49,151,450.00",224.82,226.80,223.28,149
"45,491.00",224.18,"66,034,590.00",230.28,230.44,222.27,150
"45,490.00",228.88,"57,345,880.00",229.45,231.46,226.64,151
"45,489.00",234.82,"43,234,280.00",235.00,236.27,232.33,152
"45,488.00",234.40,"62,631,250.00",236.48,237.23,233.09,153
"45,485.00",230.54,"53,046,530.00",228.92,232.64,228.68,154
"45,484.00",227.57,"64,710,620.00",231.39,232.39,225.77,155
"45,483.00",232.98,"62,627,690.00",229.30,233.08,229.25,156
"45,482.00",228.68,"48,169,820.00",227.93,229.40,226.37,157
"45,481.00",227.82,"59,085,860.00",227.09,227.85,223.25,158
"45,478.00",226.34,"60,412,410.00",221.65,226.45,221.65,159
"45,476.00",221.55,"37,369,800.00",220.00,221.55,219.03,160
"45,475.00",220.27,"58,046,180.00",216.15,220.38,215.10,161
"45,474.00",216.75,"60,402,930.00",212.09,217.51,211.92,162
"45,471.00",210.62,"82,542,720.00",215.77,216.07,210.30,163
"45,470.00",214.10,"49,772,710.00",214.69,215.74,212.35,164
"45,469.00",213.25,"66,213,190.00",211.50,214.86,210.64,165
"45,468.00",209.07,"56,713,870.00",209.15,211.38,208.61,166
"45,467.00",208.14,"80,727,010.00",207.72,212.70,206.59,167
"45,464.00",207.49,"246,421,400.00",210.39,211.89,207.11,168
"45,463.00",209.68,"86,172,450.00",213.93,214.24,208.85,169
"45,461.00",214.29,"79,943,250.00",217.59,218.63,213.00,170
"45,460.00",216.67,"93,728,300.00",213.37,218.95,212.72,171
"45,457.00",212.49,"70,122,750.00",213.85,215.17,211.30,172
"45,456.00",214.24,"97,862,730.00",214.74,216.75,211.60,173
"45,455.00",213.07,"198,134,300.00",207.37,220.20,206.90,174
"45,454.00",207.15,"172,373,300.00",193.65,207.16,193.63,175
"45,453.00",193.12,"97,262,080.00",196.90,197.30,192.15,176
"45,450.00",196.89,"53,103,910.00",194.65,196.94,194.14,177
"45,449.00",194.48,"41,181,750.00",195.69,196.50,194.17,178
"45,448.00",195.87,"54,156,790.00",195.40,196.90,194.87,179
"45,447.00",194.35,"47,471,450.00",194.64,195.32,193.03,180
"45,446.00",194.03,"50,080,540.00",192.90,194.99,192.52,181
"45,443.00",192.25,"75,158,280.00",191.44,192.57,189.91,182
"45,442.00",191.29,"49,947,940.00",190.76,192.18,190.63,183
"45,441.00",190.29,"53,068,020.00",189.61,192.25,189.51,184
"45,440.00",189.99,"52,280,050.00",191.51,193.00,189.10,185
"45,436.00",189.98,"36,326,980.00",188.82,190.58,188.04,186
"45,435.00",186.88,"51,005,920.00",190.98,191.00,186.63,187
"45,434.00",190.90,"34,648,550.00",192.27,192.82,190.27,188
"45,433.00",192.35,"42,309,400.00",191.09,192.73,190.92,189
"45,432.00",191.04,"44,361,280.00",189.33,191.92,189.01,190
"45,429.00",189.87,"41,282,930.00",189.51,190.81,189.18,191
"45,428.00",189.84,"52,845,230.00",190.47,191.10,189.66,192
"45,427.00",189.72,"70,399,990.00",187.91,190.65,187.37,193
"45,426.00",187.43,"52,393,620.00",187.51,188.30,186.29,194
"45,425.00",186.28,"72,044,810.00",185.44,187.10,184.62,195
"45,422.00",183.05,"50,759,500.00",184.90,185.09,182.13,196
"45,421.00",184.57,"48,982,970.00",182.56,184.66,182.11,197
"45,420.00",182.74,"45,057,090.00",182.85,183.07,181.45,198
"45,419.00",182.40,"77,305,770.00",183.45,184.90,181.32,199
"45,418.00",181.71,"78,569,670.00",182.35,184.20,180.42,200
"45,415.00",183.38,"163,224,100.00",186.65,187.00,182.66,201
"45,414.00",173.03,"94,214,920.00",172.51,173.42,170.89,202
"45,413.00",169.30,"50,383,150.00",169.58,172.71,169.11,203
"45,412.00",170.33,"65,934,780.00",173.33,174.99,170.00,204
"45,411.00",173.50,"68,169,420.00",173.37,176.03,173.10,205
"45,408.00",169.30,"44,838,350.00",169.88,171.34,169.18,206
"45,407.00",169.89,"50,558,330.00",169.53,170.61,168.15,207
"45,406.00",169.02,"48,251,840.00",166.54,169.30,166.21,208
"45,405.00",166.90,"49,537,760.00",165.35,167.05,164.92,209
"45,404.00",165.84,"48,116,440.00",165.52,167.26,164.77,210
"45,401.00",165.00,"68,149,380.00",166.21,166.40,164.08,211
"45,400.00",167.04,"43,122,900.00",168.03,168.64,166.55,212
"45,399.00",168.00,"50,901,210.00",169.61,170.65,168.00,213
"45,398.00",169.38,"73,711,240.00",171.75,173.76,168.27,214
"45,397.00",172.69,"73,531,770.00",175.36,176.63,172.50,215
"45,394.00",176.55,"101,670,900.00",174.26,178.36,174.21,216
"45,393.00",175.04,"91,070,280.00",168.34,175.46,168.16,217
"45,392.00",167.78,"49,709,340.00",168.80,169.09,167.11,218
"45,391.00",169.67,"42,451,210.00",168.70,170.08,168.35,219
"45,390.00",168.45,"37,425,510.00",169.03,169.20,168.24,220
"45,387.00",169.58,"42,104,830.00",169.59,170.39,168.95,221
"45,386.00",168.82,"53,704,390.00",170.29,171.92,168.82,222
"45,385.00",169.65,"47,691,720.00",168.79,170.68,168.58,223
"45,384.00",168.84,"49,329,480.00",169.08,169.34,168.23,224
"45,383.00",170.03,"46,240,500.00",171.19,171.25,169.48,225
"45,379.00",171.48,"65,672,690.00",171.75,172.23,170.51,226
"45,378.00",173.31,"60,273,270.00",170.41,173.60,170.11,227
"45,377.00",169.71,"57,388,450.00",170.00,171.42,169.58,228
"45,376.00",170.85,"54,288,330.00",170.57,171.94,169.45,229
"45,373.00",172.28,"71,160,140.00",171.76,173.05,170.06,230
"45,372.00",171.37,"106,181,300.00",177.05,177.49,170.84,231
"45,371.00",178.67,"53,423,100.00",175.72,178.67,175.09,232
"45,370.00",176.08,"55,215,240.00",174.34,176.61,173.03,233
"45,369.00",173.72,"75,604,180.00",175.57,177.71,173.52,234
"45,366.00",172.62,"121,752,700.00",171.17,172.62,170.29,235
"45,365.00",173.00,"72,913,510.00",172.91,174.31,172.05,236
"45,364.00",171.13,"52,488,690.00",172.77,173.19,170.76,237
"45,363.00",173.23,"59,825,370.00",173.15,174.03,171.01,238
"45,362.00",172.75,"60,139,470.00",172.94,174.38,172.05,239
"45,359.00",170.73,"76,267,040.00",169.00,173.70,168.94,240
"45,358.00",169.00,"71,765,060.00",169.15,170.73,168.49,241
"45,357.00",169.12,"68,587,710.00",171.06,171.24,168.68,242
"45,356.00",170.12,"95,132,360.00",170.76,172.04,169.62,243
"45,355.00",175.10,"81,510,100.00",176.15,176.90,173.79,244
"45,352.00",179.66,"73,563,080.00",179.55,180.53,177.38,245
"45,351.00",180.75,"136,682,600.00",181.27,182.57,179.53,246
"45,350.00",181.42,"48,953,940.00",182.51,183.12,180.13,247
"45,349.00",182.63,"54,318,850.00",181.10,183.92,179.56,248
"45,348.00",181.16,"40,867,420.00",182.24,182.76,180.65,249
"45,345.00",182.52,"45,119,680.00",185.01,185.04,182.23,250
"45,344.00",184.37,"52,292,210.00",183.48,184.96,182.46,251
"45,343.00",182.32,"41,529,670.00",181.94,182.89,180.66,252
"45,342.00",181.56,"53,665,550.00",181.79,182.43,180.00,253
"45,338.00",182.31,"49,752,470.00",183.42,184.85,181.67,254
"45,337.00",183.86,"65,434,500.00",183.55,184.49,181.35,255
"45,336.00",184.15,"54,630,520.00",185.32,185.53,182.44,256
"45,335.00",185.04,"56,529,530.00",185.77,186.21,183.51,257
"45,334.00",187.15,"41,781,930.00",188.42,188.67,186.79,258
"45,331.00",188.85,"45,155,220.00",188.65,189.99,188.00,259
"45,330.00",188.32,"40,962,050.00",189.39,189.54,187.35,260
"45,329.00",189.41,"53,438,960.00",190.64,191.05,188.61,261
"45,328.00",189.30,"43,490,760.00",186.86,189.31,186.77,262
"45,327.00",187.68,"69,668,820.00",188.15,189.25,185.84,263
"45,324.00",185.85,"102,551,700.00",179.86,187.33,179.25,264
"45,323.00",186.86,"64,885,410.00",183.99,186.95,183.82,265
"45,322.00",184.40,"55,467,800.00",187.04,187.10,184.35,266
"45,321.00",188.04,"55,859,370.00",190.94,191.80,187.47,267
"45,320.00",191.73,"47,145,620.00",192.01,192.20,189.58,268
"45,317.00",192.42,"44,594,010.00",194.27,194.76,191.94,269
"45,316.00",194.17,"54,822,130.00",195.22,196.27,193.11,270
"45,315.00",194.50,"53,631,320.00",195.42,196.38,194.34,271
"45,314.00",195.18,"42,355,590.00",195.02,195.75,193.83,272
"45,313.00",193.89,"60,133,850.00",192.30,195.33,192.26,273
"45,310.00",191.56,"68,902,990.00",189.33,191.95,188.82,274
"45,309.00",188.63,"78,005,750.00",186.09,189.14,185.83,275
"45,308.00",182.68,"47,317,430.00",181.27,182.93,180.30,276
"45,307.00",183.63,"65,603,040.00",182.16,184.26,180.93,277
"45,303.00",185.92,"40,477,780.00",186.06,186.74,185.19,278
"45,302.00",185.59,"49,128,410.00",186.54,187.05,183.62,279
"45,301.00",186.19,"46,792,910.00",184.35,186.40,183.92,280
"45,300.00",185.14,"42,841,810.00",183.92,185.15,182.73,281
"45,299.00",185.56,"59,144,470.00",182.09,185.60,181.50,282
"45,296.00",181.18,"62,379,660.00",181.99,182.76,180.17,283
"45,295.00",181.91,"71,983,570.00",182.15,183.09,180.88,284
"45,294.00",184.25,"58,414,460.00",184.22,185.88,183.43,285
"45,293.00",185.64,"82,488,670.00",187.15,188.44,183.89,286
"45,289.00",192.53,"42,672,150.00",193.90,194.40,191.73,287
"45,288.00",193.58,"34,049,900.00",194.14,194.66,193.17,288
"45,287.00",193.15,"48,087,680.00",192.49,193.50,191.09,289
"45,286.00",193.05,"28,919,310.00",193.61,193.89,192.83,290
"45,282.00",193.60,"37,149,570.00",195.18,195.41,192.97,291
"45,281.00",194.68,"46,482,550.00",196.10,197.08,193.50,292
"45,280.00",194.83,"52,242,820.00",196.90,197.68,194.83,293
"45,279.00",196.94,"40,714,050.00",196.16,196.95,195.89,294
"45,278.00",195.89,"55,751,860.00",196.09,196.63,194.39,295
"45,275.00",197.57,"128,538,400.00",197.53,198.40,197.00,296
"45,274.00",198.11,"66,831,570.00",198.02,199.62,196.16,297
"45,273.00",197.96,"70,404,180.00",195.09,198.00,194.85,298
"45,272.00",194.71,"52,696,900.00",193.08,194.72,191.72,299
"45,271.00",193.18,"60,943,700.00",193.11,193.49,191.42,300
"45,268.00",195.71,"53,406,360.00",194.20,195.99,193.67,301
"45,267.00",194.27,"47,477,660.00",193.63,195.00,193.59,302
"45,266.00",192.32,"41,089,740.00",194.45,194.76,192.11,303
"45,265.00",193.42,"66,628,400.00",190.21,194.40,190.18,304
"45,264.00",189.43,"43,389,520.00",189.98,190.05,187.45,305
"45,261.00",191.24,"45,704,820.00",190.33,191.56,189.23,306
"45,260.00",189.95,"48,794,370.00",189.84,190.32,188.19,307
"45,259.00",189.37,"43,014,220.00",190.90,192.09,188.97,308
"45,258.00",190.40,"38,415,420.00",189.78,191.08,189.40,309
"45,257.00",189.79,"40,552,610.00",189.92,190.67,188.90,310
"45,254.00",189.97,"24,048,340.00",190.87,190.90,189.25,311
"45,252.00",191.31,"39,630,010.00",191.49,192.93,190.83,312
"45,251.00",190.64,"38,134,490.00",191.41,191.52,189.74,313
"45,250.00",191.45,"46,538,610.00",189.89,191.91,189.88,314
"45,247.00",189.69,"50,941,400.00",190.25,190.38,188.57,315
"45,246.00",189.71,"54,412,920.00",189.57,190.96,188.65,316
"45,245.00",188.01,"53,790,500.00",187.85,189.50,187.78,317
"45,244.00",187.44,"60,108,380.00",187.70,188.11,186.30,318
"45,243.00",184.80,"43,627,520.00",185.82,186.03,184.21,319
"45,240.00",186.40,"66,177,920.00",183.97,186.57,183.53,320
"45,239.00",182.41,"53,763,540.00",182.96,184.12,181.81,321
"45,238.00",182.89,"49,340,280.00",182.35,183.45,181.59,322
"45,237.00",181.82,"70,529,970.00",179.18,182.44,178.97,323
"45,236.00",179.23,"63,841,310.00",176.38,179.43,176.21,324
"45,233.00",176.65,"79,829,250.00",174.24,176.82,173.35,325
"45,232.00",177.57,"77,334,750.00",175.52,177.78,175.46,326
"45,231.00",173.97,"56,934,910.00",171.00,174.23,170.12,327
"45,230.00",170.77,"44,846,020.00",169.35,170.90,167.90,328
"45,229.00",170.29,"51,130,960.00",169.02,171.17,168.87,329
"45,226.00",168.22,"58,499,130.00",166.91,168.96,166.83,330
"45,225.00",166.89,"70,625,260.00",170.37,171.38,165.67,331
"45,224.00",171.10,"57,156,960.00",171.88,173.06,170.65,332
"45,223.00",173.44,"43,816,640.00",173.05,173.67,171.45,333
"45,222.00",173.00,"55,980,110.00",170.91,174.01,169.93,334
"45,219.00",172.88,"64,244,030.00",175.31,175.42,172.64,335
"45,218.00",175.46,"59,302,860.00",176.04,177.84,175.19,336
"45,217.00",175.84,"54,764,380.00",175.58,177.58,175.11,337
"45,216.00",177.15,"57,549,350.00",176.65,178.42,174.80,338
"45,215.00",178.72,"52,516,980.00",176.75,179.08,176.51,339
"45,212.00",178.85,"51,456,080.00",181.42,181.93,178.14,340
"45,211.00",180.71,"56,743,120.00",180.07,182.34,179.04,341
"45,210.00",179.80,"47,551,100.00",178.20,179.85,177.60,342
"45,209.00",178.39,"43,698,020.00",178.10,179.72,177.95,343
"45,208.00",178.99,"42,390,770.00",176.81,179.05,175.80,344
"45,205.00",177.49,"57,266,680.00",173.80,177.99,173.18,345
"45,204.00",174.91,"48,527,920.00",173.79,175.45,172.68,346
"45,203.00",173.66,"53,020,290.00",171.09,174.21,170.97,347
"45,202.00",172.40,"49,594,610.00",172.26,173.63,170.82,348
"45,201.00",173.75,"52,164,540.00",171.22,174.30,170.93,349
"45,198.00",171.21,"51,861,080.00",172.02,173.07,170.34,350
"45,197.00",170.69,"56,294,420.00",169.34,172.03,167.62,351
"45,196.00",170.43,"66,921,810.00",172.62,173.04,169.05,352
"45,195.00",171.96,"64,588,950.00",174.82,175.20,171.66,353
"45,194.00",176.08,"46,172,740.00",174.20,176.97,174.15,354
"45,191.00",174.79,"56,725,390.00",174.67,177.08,174.05,355
"45,190.00",173.93,"63,149,120.00",174.55,176.30,173.86,356
"45,189.00",175.49,"58,436,180.00",179.26,179.70,175.40,357
"45,188.00",179.07,"51,826,940.00",177.52,179.63,177.13,358
"45,187.00",177.97,"67,257,570.00",176.48,179.38,176.17,359
"45,184.00",175.01,"109,259,500.00",176.48,176.50,173.82,360
"45,183.00",175.74,"60,895,760.00",174.00,176.10,173.58,361
"45,182.00",174.21,"84,267,930.00",176.51,177.30,173.98,362
"45,181.00",176.30,"90,370,190.00",179.49,180.13,174.82,363
"45,180.00",179.36,"58,953,050.00",180.07,180.30,177.34,364
"45,177.00",178.18,"65,602,070.00",178.35,180.24,177.79,365
"45,176.00",177.56,"112,488,800.00",175.18,178.21,173.54,366
"45,175.00",182.91,"81,755,820.00",188.40,188.85,181.47,367
"45,174.00",189.70,"45,280,030.00",188.28,189.98,187.61,368
"45,170.00",189.46,"45,766,500.00",189.49,189.92,188.28,369
"45,169.00",187.87,"60,794,470.00",187.84,189.12,187.48,370
"45,168.00",187.65,"60,813,890.00",184.94,187.85,184.74,371
"45,167.00",184.12,"53,003,950.00",179.70,184.90,179.50,372
"45,166.00",180.19,"43,820,700.00",180.09,180.59,178.55,373
"45,163.00",178.61,"51,449,590.00",177.38,179.15,175.82,374
"45,162.00",176.38,"54,945,800.00",180.67,181.10,176.01,375
"45,161.00",181.12,"52,722,750.00",178.52,181.55,178.33,376
"45,160.00",177.23,"42,084,250.00",177.06,177.68,176.25,377
"45,159.00",175.84,"46,311,880.00",175.07,176.13,173.74,378
"45,156.00",174.49,"61,172,150.00",172.30,175.10,171.96,379
"45,155.00",174.00,"66,062,880.00",177.14,177.51,173.48,380
"45,154.00",176.57,"46,964,860.00",177.13,178.54,176.50,381
"45,153.00",177.45,"43,622,590.00",178.88,179.48,177.05,382
"45,152.00",179.46,"43,675,630.00",177.97,179.69,177.31,383
"45,149.00",177.79,"52,036,670.00",177.32,178.62,176.55,384
"45,148.00",177.97,"54,686,850.00",179.48,180.75,177.60,385
"45,147.00",178.19,"60,378,490.00",180.87,180.93,177.01,386
"45,146.00",179.80,"67,823,000.00",179.69,180.27,177.58,387
"45,145.00",178.85,"97,576,070.00",182.13,183.13,177.35,388
"45,142.00",181.99,"115,956,800.00",185.52,187.38,181.92,389
"45,141.00",191.17,"62,243,280.00",191.57,192.37,190.69,390
"45,140.00",192.58,"50,389,330.00",195.04,195.18,191.85,391
"45,139.00",195.61,"35,281,430.00",196.24,196.73,195.28,392
"45,138.00",196.45,"38,824,110.00",196.06,196.49,195.26,393
"45,135.00",195.83,"48,291,440.00",194.67,196.63,194.14,394
"45,134.00",193.22,"47,460,180.00",196.02,197.20,192.55,395
"45,133.00",194.50,"47,471,870.00",193.67,195.64,193.32,396
"45,132.00",193.62,"37,283,200.00",193.33,194.44,192.92,397
"45,131.00",192.75,"45,505,100.00",193.41,194.91,192.25,398
"45,128.00",191.94,"71,951,680.00",194.10,194.97,191.23,399
"45,127.00",193.13,"59,581,200.00",195.09,196.47,192.50,400
"45,126.00",195.10,"80,507,320.00",193.10,198.23,192.65,401
"45,125.00",193.73,"48,353,770.00",193.35,194.33,192.42,402
"45,124.00",193.99,"50,520,160.00",191.90,194.32,191.81,403
"45,121.00",190.69,"41,616,240.00",190.23,191.18,189.63,404
"45,120.00",190.54,"41,342,340.00",190.50,191.19,189.78,405
"45,119.00",189.77,"60,750,250.00",189.68,191.70,188.47,406
"45,118.00",188.08,"46,638,120.00",189.16,189.30,186.60,407
"45,117.00",188.61,"59,922,160.00",189.26,189.99,187.04,408
"45,114.00",190.68,"46,815,000.00",191.41,192.67,190.24,409
